Drosophila,,,,,,
frequency (Hz),Elastic modulus (kN/m^2),Std. dev.,,frequency (Hz),Viscous modulus (kN/m^2),Std. dev.
0.492388263,163.800905,20.36199095,,0.461344339,-4.14507772,8.285
1,177.3755656,23.75565611,,0.540321995,-4.14507772,8.285
2.478738825,192.3076923,26.47058824,,0.928961171,-3.10880829,8.285
5.034114357,207.239819,27.14932127,,1.217992518,-3.10880829,8.285
7.666822075,218.0995475,28.50678733,,1.670704039,-3.10880829,8.285
10.22387155,223.5294118,29.18552036,,2.190516765,-3.10880829,8.285
15.22973364,233.0316742,29.18552036,,2.745274632,-3.10880829,8.285
20.30917621,241.1764706,29.18552036,,4.121028213,-4.14507772,8.285
29.5906051,247.9638009,29.86425339,,5.283230059,-3.10880829,8.285
42.16965034,249.321267,28.50678733,,7.578964539,-6.21761658,8.285
55.00277681,250.678733,27.8280543,,9.934713305,-8.29015544,8.285
64.22325422,247.9638009,28.50678733,,14.25166783,-11.39896373,9.3
70.17038287,242.5339367,25.11312217,,17.85469823,-14.50777202,9.3
77.46161341,239.5691416,23.07692308,,19.97644182,-19.68911917,9.3
85.26469262,235.6533256,21.71945701,,23.9275763,-20.7253886,9.3
93.85381336,230.3222298,21.04072398,,29.97331207,-24.87046632,9.3
103.3081574,224.0519872,16.96832579,,35.07982363,-31.0880829,9.3
113.7148827,215.7619613,14.25339367,,41.97895237,-40.41450777,9.3
125.1699273,204.3977375,12.8959276,,45.90835166,-47.66839378,9.3
136.9001255,197.4588341,13.57466063,,54.96925894,-51.8134715,12.955
147.825719,183.0112435,13.57466063,,64.27412423,-66.32124352,12.955
161.6790863,174.7541007,10.85972851,,64.30420271,-62.1761658,12.955
177.3199698,164.8189296,11.53846154,,71.79848304,-73.50758824,15.542
193.4866499,152.1109626,15.61085973,,79.1493769,-76.93006201,15.542
210.8511439,144.0151584,14.9321267,,87.23675,-81.98972465,15.542
227.6785492,130.4315045,12.8959276,,96.14698329,-87.37155572,15.542
249.0152597,123.5906391,12.8959276,,105.9663873,-92.82925349,15.542
274.0997591,113.3007353,14.9321267,,116.8009144,-97.35571583,15.542
299.9923869,112.964953,14.9321267,,128.7563967,-100.9752571,15.542
333.3135187,111.6319416,14.9321267,,141.9400691,-104.3168147,15.542
365.5583688,117.43495,14.9321267,,155.9664623,-103.5812405,15.542
402.3828136,123.4190045,14.9321267,,172.7102916,-99.96743375,15.542
442.9167611,130.902624,14.9321267,,190.6477563,-91.53241594,15.542
487.5338871,139.6651985,14.9321267,,210.5152841,-80.27296323,15.542
536.6455099,148.5076263,14.9321267,,212.1923173,-84.97409326,15.542
590.7043816,156.4373272,14.9321267,,227.4325316,-70.46632124,12.955
650.2088623,164.391952,14.9321267,,232.5698767,-64.56842892,12.955
715.7075143,172.1132837,14.9321267,,243.6818163,-59.06735751,12.955
787.804159,178.6183444,14.9321267,,260.9699308,-51.8134715,12.955
867.163444,188.8318157,15.61085973,,279.5826457,-41.4507772,12.955
954.5169698,192.7525898,21.04072398,,286.2000561,-34.19689119,9.3
1044.684698,199.6527957,21.71945701,,292.9740932,-26.94300518,9.3
1156.509058,201.6843891,23.07692308,,299.9435453,-18.65284974,9.3
,,,,314.0897355,-10.3626943,9.3
,,,,314.3470047,-3.10880829,9.3
,,,,315.5333911,4.424650737,9.3
,,,,336.9242392,11.39896373,8.285
,,,,348.5034261,17.92388388,8.285
,,,,384.7540876,27.63816951,8.285
,,,,423.1840425,36.93830447,8.285
,,,,467.2609853,47.75514896,8.285
,,,,515.8278213,56.8380814,8.285
,,,,569.4213104,65.58874836,8.285
,,,,628.554194,73.93259447,9.3
,,,,693.8538052,82.60760983,9.3
,,,,765.6773899,88.27571755,9.3
,,,,840.3047901,96.85959504,9.3
,,,,937.808919,99.26670904,9.3
,,,,1029.071126,103.626943,12.955
,,,,1134.682809,105.1802277,12.955
,,,,1221.410004,107.4649779,12.955
